iso3c,region_id,country_name,income_id,gdp,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,other_information_national_agency_to_enforce_solid_waste_laws_and_regulations,other_information_national_law_governing_solid_waste_management_in_the_country,other_information_summary_of_key_solid_waste_information_made_available_to_the_public,population_number_of_people,e_waste_tons_year,total_waste_generated
ABW,LCN,Aruba,HIC,35563.3125,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,103187,NA,88132.0167
AFG,SAS,Afghanistan,LIC,2057.062256,NA,NA,NA,NA,NA,NA,Yes,Yes,NA,34656032,20000,5628525.37
AGO,SSF,Angola,LMC,8036.69043,51.8,6.7,4.4,11.5,11.9,13.5,NA,Yes,NA,25096150,92000,4213643.585
ALB,ECS,Albania,UMC,13724.05859,51.4,4.5,4.8,15.21,9.9,9.6,Yes,Yes,No,2854191,20000,1087446.75
AND,ECS,Andorra,HIC,43711.80078,31.2,8.2,2.6,11.6,35.1,11.3,Yes,Yes,NA,82431,NA,43000
ARE,MEA,United Arab Emirates,HIC,67119.13281,39,4,3,10,25,19,Yes,NA,NA,9770529,134000,5617682
ARG,LCN,Argentina,HIC,23550.09961,38.74,3.16,1.84,15.36,13.96,14.61,NA,Yes,NA,42981516,291700,17910550
ARM,ECS,Armenia,UMC,11019.83887,57,3.2,3.4,17.4,6.7,11.4,No,Yes,NA,2906220,14000,492800
ASM,EAS,American Samoa,UMC,11113.44238,19.7,3.4,7.9,25.6,26.4,12.8,Yes,NA,NA,55599,NA,18989.49
ATG,LCN,Antigua and Barbuda,HIC,17965.50195,46,7,7,12,15,13,Yes,Yes,No,96777,1100,30585
AUS,EAS,Australia,HIC,47784.17969,48.44,3.81,19.38,3.46,17.3,7.61,Yes,Yes,Yes,23789338,574000,13345000
AUT,ECS,Austria,HIC,56029.61328,31.4,7,4.4,18.5,19.7,11.1,Yes,Yes,NA,8877067,166174,5219715.5
AZE,ECS,Azerbaijan,UMC,14853.91016,45.19,5.28,3.49,13.73,10.93,7.87,Yes,Yes,NA,9649341,63000,2930349
BDI,SSF,Burundi,LIC,839.7785034,81,2.9,2.1,3.2,7.3,3.5,NA,NA,NA,6741569,5000,1872016
BEL,ECS,Belgium,HIC,51914.91406,14.18,3.1,1.91,40.14,18.38,13.94,Yes,Yes,NA,11484055,603575,4765883
BEN,SSF,Benin,LIC,2227.352295,52.1,1.6,1.6,34.3,3.1,7.3,NA,Yes,NA,5521763,8200,685936.01
BFA,SSF,Burkina Faso,LIC,1925.331177,21,1,1,61,7,9,No,Yes,NA,18110624,11000,2575251.11
BGD,SAS,Bangladesh,LMC,3195.737061,80.58,0.44,0.5,8.59,3.04,4.67,Yes,Yes,NA,155727056,142000,14778497.33
BGR,ECS,Bulgaria,UMC,22279.36133,24.35,5.83,1.98,17.93,14.18,12.15,Yes,Yes,Yes,7025037,53785,2859190
BHR,MEA,Bahrain,HIC,47937.77734,59.1,3.4,2.1,15.2,12.8,7.4,Yes,Yes,NA,1425171,20000,951942.9695
BHS,LCN,"Bahamas, The",HIC,35400.08203,46,7,7,12,15,13,Yes,No,No,386838,4900,264000
BIH,ECS,Bosnia and Herzegovina,UMC,12671.00781,NA,NA,NA,92.7,4.9,NA,No,No,Yes,3535961,1409,1248718
BLR,ECS,Belarus,UMC,18307.51953,30,8,2,35,5,12,Yes,Yes,Yes,9489616,72000,4280000
BLZ,LCN,Belize,UMC,7259.024414,47,8,5,5,16,19,Yes,Yes,NA,359288,2300,101378.8303
BMU,NAC,Bermuda,HIC,80982.36719,17,9,6,26,29,13,Yes,Yes,NA,64798,NA,82000
BOL,LCN,Bolivia,LMC,7984.413574,55.1969112,2.903474903,2.501930502,22.7027027,6.501930502,10.19305019,Yes,Yes,Yes,10724705,35392,2219052
BRA,LCN,Brazil,UMC,14596.24609,51.4,2.4,2.9,16.7,13.1,13.5,Yes,Yes,NA,208494896,1411900,79069584
BRB,LCN,Barbados,HIC,15444.74609,18.3,3.7,4.9,5.7,19.7,17.1,Yes,No,No,280601,3800,174815.4444
BRN,EAS,Brunei Darussalam,HIC,60865.98828,36,3,4,15,18,16,Yes,Yes,Yes,423196,7700,216253.156
BTN,SAS,Bhutan,LMC,6743.016113,58,4,1,7,17,13,Yes,Yes,Yes,686958,1457.5,111314.05
BWA,SSF,Botswana,UMC,14126.38965,8.1,NA,0.1,91.9,NA,NA,NA,NA,NA,2014866,16000,210854.4426
CAF,SSF,Central African Republic,LIC,822.6104736,NA,NA,NA,NA,NA,NA,NA,Yes,NA,4515392,2700,1105983
CAN,NAC,Canada,HIC,47672.07813,24,6,13,8,47,3,Yes,Yes,Yes,35544564,724000,25103034
CHE,ECS,Switzerland,HIC,68394.28906,29,4,3,29,20,15,Yes,Yes,Yes,8574832,184000,6079556
CHI,ECS,Channel Islands,HIC,46672.59375,NA,NA,NA,NA,NA,NA,Yes,Yes,NA,164541,NA,178933
CHL,LCN,Chile,HIC,20361.71484,53.3,6.6,2.3,16,12.4,9.4,No,Yes,NA,16829442,176000,6517000
CHN,EAS,China,UMC,16092.30078,61.2,2.1,1.1,13.1,9.6,9.8,Yes,Yes,NA,1400050048,7211000,395081376
CIV,SSF,Côte d’Ivoire,LMC,3660.902832,NA,NA,NA,NA,NA,NA,Yes,Yes,NA,20401332,22000,4440814.27
CMR,SSF,Cameroon,LMC,3262.763672,83.4,0.1,0.7,10.4,2.1,3.3,NA,Yes,NA,21655716,19000,3270616.59
COD,SSF,"Congo, Dem. Rep.",LIC,1055.572998,NA,NA,NA,NA,NA,NA,NA,Yes,NA,78736152,NA,14385226.02
COG,SSF,"Congo, Rep.",LMC,4899.57959,NA,NA,NA,NA,NA,NA,No,Yes,NA,2648507,NA,451200
COL,LCN,Colombia,UMC,12523.00684,59.58,2.35,1.1,15.74,8.4,12.83,NA,No,NA,46406648,252200,12150120
COM,SSF,Comoros,LIC,2959.540039,50,2,4,22,7,5,NA,Yes,NA,777424,600,91013
CPV,SSF,Cabo Verde,LMC,6353.783203,NA,NA,NA,NA,NA,NA,Yes,Yes,NA,513979,2400,132555
CRI,LCN,Costa Rica,UMC,18168.71484,58,1,2,7,21,11,NA,Yes,NA,4757575,35800,1460000
CUB,LCN,Cuba,UMC,12984.71094,68.9,4.6,1.6,3,12.3,9.6,No,No,Yes,11303687,NA,2692691.98
CUW,LCN,Curacao,HIC,27503.78906,NA,NA,NA,NA,NA,NA,Yes,Yes,NA,153822,NA,24703.8132
CYM,LCN,Cayman Islands,HIC,66207.44531,10.9,3.5,6.2,11.4,31.1,11,Yes,Yes,NA,59172,NA,60000
CYP,ECS,Cyprus,HIC,39544.68359,41.47,2.66,3.25,10.07,25.7,14.77,Yes,Yes,Yes,1198575,18137,769485.125
CZE,ECS,Czech Republic,HIC,40836.32813,62.3,2.4,8.4,14.9,9.1,2.2,Yes,Yes,NA,10669709,79581,5334854.5
DEU,ECS,Germany,HIC,53784.78125,30,10,1.4,17.7,24,13,Yes,Yes,Yes,83132800,2465085,50627876
DJI,MEA,Djibouti,LMC,6596.775391,NA,NA,NA,NA,NA,NA,NA,NA,NA,746221,900,114997.249
DMA,LCN,Dominica,UMC,11708.63965,45,8,5,14,12,16,Yes,Yes,NA,72400,NA,13176
DNK,ECS,Denmark,HIC,57821.19922,12.78,5.78,6.29,23.86,11.57,1.61,Yes,Yes,Yes,5818553,168614,4910858.5
DOM,LCN,Dominican Republic,UMC,15328.35254,51,6,3,10,16,10,Yes,No,NA,10528394,57000,4063910
DZA,MEA,Algeria,UMC,11826.16504,54.4,1.2,2.8,0.8,9.8,16.9,Yes,Yes,Yes,40606052,252000,12378740
ECU,LCN,Ecuador,UMC,11896.37695,58.67,3.01,1.53,13.78,10.25,11.44,Yes,No,Yes,16144368,73000,5297211.143
EGY,MEA,"Egypt, Arab Rep.",LMC,10301.10742,56,4,2,15,10,13,Yes,No,NA,87813256,497000,21000000
ERI,SSF,Eritrea,LIC,1714.552368,NA,NA,NA,NA,NA,NA,NA,NA,NA,4474690,3800,726957.37
ESP,ECS,Spain,HIC,40985.55859,49,8,3,14,15,9,Yes,Yes,Yes,47076780,1202597,22408548
EST,ECS,Estonia,HIC,36956.28516,36.7,8.3,2.6,15.9,17.5,18.6,Yes,Yes,Yes,1326590,34312,489511.7188
ETH,SSF,Ethiopia,LIC,1779.083984,87.6,0.8,1.2,4.4,3.8,2.3,Yes,Yes,NA,99873032,49000,6532786.97
FIN,ECS,Finland,HIC,48814.30859,35.88,9.24,1.7,13.13,37.83,1.45,Yes,Yes,Yes,5520314,212954,3124497.75
FJI,EAS,Fiji,UMC,10787.68555,33.2,4.1,1.9,3.5,12.5,7.5,Yes,Yes,NA,867086,4600,189389.594
FRA,ECS,France,HIC,46110.18359,32,10,3,26,20,9,Yes,Yes,NA,67059888,2218682,36748820
FRO,ECS,Faeroe Islands,HIC,44402.87891,NA,NA,NA,NA,NA,NA,NA,Yes,NA,48842,NA,61000
FSM,EAS,"Micronesia, Fed. Sts.",LMC,3440.064209,23.83,7.07,16.73,9.32,13.3,26.17,Yes,Yes,NA,104937,200,26039.57
GAB,SSF,Gabon,UMC,18514.65234,NA,NA,NA,NA,NA,NA,NA,NA,NA,1086137,14000,238102.31
GBR,ECS,United Kingdom,HIC,46290.12109,16.7,2.2,3.5,28.2,18.9,20.2,Yes,Yes,NA,66460344,3584126,30771140
GEO,ECS,Georgia,LMC,12605.13965,39,3,5,16,34,3,No,Yes,NA,3717100,21000,800000
GHA,SSF,Ghana,LMC,3092.596924,67,0,1,25,3,4,Yes,Yes,NA,21542008,39000,3538274.978
GIB,ECS,Gibraltar,HIC,43711.80078,24.57,4.42,4.37,14.38,33.65,15.86,Yes,Yes,Yes,33623,201.44,16954
GIN,SSF,Guinea,LIC,1622.776855,58,1,1,27,9,4,NA,Yes,NA,8132552,8000,596911
GMB,SSF,"Gambia, The",LIC,2180.855713,35,1.9,2.1,51.4,9.7,NA,Yes,Yes,NA,1311349,2200,193440.54
GNB,SSF,Guinea-Bissau,LIC,1800.068604,NA,NA,NA,NA,NA,NA,NA,NA,NA,1770526,1000,289514
GNQ,SSF,Equatorial Guinea,UMC,24827.07227,NA,NA,NA,NA,NA,NA,NA,NA,NA,1221490,NA,198443.06
GRC,ECS,Greece,HIC,30465.44922,40,3,3,9,29,14,Yes,Yes,Yes,10716322,188460,5615352.5
GRD,LCN,Grenada,UMC,13207.71191,27.1,3.1,2.4,36.5,13.6,16.4,Yes,Yes,NA,105481,800,29536.11394
GRL,ECS,Greenland,HIC,43948.5625,42.8,7.1,2,33.4,11.4,2.4,NA,Yes,NA,56905,NA,50000
GTM,LCN,Guatemala,UMC,8125.364746,37.71449118,4.39183558,NA,18.01847364,16.04670215,17.29080875,NA,No,NA,16252429,55000,2756740.971
GUM,EAS,Guam,HIC,59074.94141,27.3,4.6,9,8.7,28.5,12.4,Yes,Yes,Yes,159973,NA,141500
GUY,LCN,Guyana,UMC,9812.089844,50.1,4.7,4.2,12.1,10.7,14.2,Yes,No,No,746556,5000,179251.5
HKG,EAS,"Hong Kong SAR, China",HIC,57215.96875,35,3,2,14,22,21,Yes,Yes,Yes,7305700,70000,5679816.465
HND,LCN,Honduras,LMC,5395.61377,57.9,1.27,2.11,6.62,17.36,14.41,NA,Yes,NA,9112867,1700,2162027.696
HRV,ECS,Croatia,HIC,28829.35547,30.9,3.7,2.1,11.5,23.2,22.9,Yes,Yes,NA,4067500,58078,1810037.5
HTI,LCN,Haiti,LIC,2952.618652,61.3,1.6,2.5,16.8,4.1,12.7,No,No,No,10847334,6000,2309852.455
HUN,ECS,Hungary,HIC,32643.49023,22.5,3.5,1.8,45.9,13.4,13,Yes,Yes,Yes,9769949,50066,3780970.25
IDN,EAS,Indonesia,LMC,10531.19824,53.8,2.5,1.8,12.9,14.9,14,Yes,Yes,NA,261115456,1274000,65200000
IMN,ECS,Isle of Man,HIC,44203.62109,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,80759,NA,50551
IND,SAS,India,LMC,6496.807617,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,1352617344,1700000,189750000
IRL,ECS,Ireland,HIC,83388.71875,16.6,8.5,3.7,25.8,25,12.4,Yes,Yes,Yes,4867316,212874,2910655
IRN,MEA,"Iran, Islamic Rep.",UMC,14535.8623,72.9,1.9,2.3,5,7.3,8.5,Yes,Yes,No,80277424,630000,17885000
IRQ,MEA,Iraq,UMC,10310.67969,68.7,2.3,0.98,6,9.6,5.29,No,No,NA,36115648,221000,13140000
ISL,ECS,Iceland,HIC,55274.1875,10,NA,NA,NA,38,9,Yes,Yes,Yes,343400,7600,225270.4063
ISR,MEA,Israel,HIC,37687.74609,34,3,3,16,24,18,Yes,Yes,Yes,8380100,120000,5400000
ITA,ECS,Italy,HIC,42419.72266,34.4,7.6,4.3,15.4,22.8,11.6,Yes,Yes,NA,60297396,2800026,30088400
JAM,LCN,Jamaica,UMC,9550.810547,62.22,2.81,2.38,5.13,14.73,12.2,Yes,Yes,Yes,2881355,17000,1051694.575
JOR,MEA,Jordan,UMC,10413.17578,50,2,1.5,15.5,15,16,No,Yes,NA,8413464,43000,2529997
JPN,EAS,Japan,HIC,41309.95703,36,5,4,6,33,11,No,Yes,NA,126529104,518978,42720000
KAZ,ECS,Kazakhstan,UMC,22702.58008,30,5,3,7,25,25,Yes,Yes,No,16791424,147000,4659740
KEN,SSF,Kenya,LMC,3329.854492,57,3,1,9,11.3,18.7,NA,Yes,NA,41350152,17350,5595099
KGZ,ECS,Kyrgyz Republic,LMC,4805.141113,NA,NA,NA,NA,NA,NA,Yes,Yes,NA,5956900,7200,1113300
KHM,EAS,Cambodia,LMC,3364.278809,66.6,2.6,2,10.4,4,8.6,Yes,Yes,NA,15270790,14000,1089000
KIR,EAS,Kiribati,LMC,2249.768555,43.6,5.5,10,9.3,10.9,16.5,Yes,Yes,NA,114395,100,35723.8275
KNA,LCN,St. Kitts and Nevis,HIC,25569.35742,27.2,8.1,8.8,12.2,20.5,23.2,Yes,Yes,Yes,54288,700,32892.14
